household_id,tariff_type,acorn_code,area_group
MAC005492,ToU,ACORN-,ACORN-
MAC001074,ToU,ACORN-,ACORN-
MAC000002,Std,ACORN-A,Affluent
MAC003613,Std,ACORN-A,Affluent
MAC003597,Std,ACORN-A,Affluent
MAC003579,Std,ACORN-A,Affluent
MAC003566,Std,ACORN-A,Affluent
MAC003557,Std,ACORN-A,Affluent
MAC003553,Std,ACORN-A,Affluent
MAC003482,Std,ACORN-A,Affluent
MAC003463,Std,ACORN-A,Affluent
MAC003449,Std,ACORN-A,Affluent
MAC003428,Std,ACORN-A,Affluent
MAC003423,Std,ACORN-A,Affluent
MAC003422,Std,ACORN-A,Affluent
MAC003400,Std,ACORN-A,Affluent
MAC003394,Std,ACORN-A,Affluent
MAC003388,Std,ACORN-A,Affluent
MAC003348,Std,ACORN-A,Affluent
MAC000246,Std,ACORN-A,Affluent
MAC003305,Std,ACORN-A,Affluent
MAC003281,Std,ACORN-A,Affluent
MAC003252,Std,ACORN-A,Affluent
MAC003239,Std,ACORN-A,Affluent
MAC003646,Std,ACORN-A,Affluent
MAC003656,Std,ACORN-A,Affluent
MAC003668,Std,ACORN-A,Affluent
MAC003680,Std,ACORN-A,Affluent
MAC004431,Std,ACORN-A,Affluent
MAC004387,Std,ACORN-A,Affluent
MAC004319,Std,ACORN-A,Affluent
MAC004247,Std,ACORN-A,Affluent
MAC004179,Std,ACORN-A,Affluent
MAC004034,Std,ACORN-A,Affluent
MAC003874,Std,ACORN-A,Affluent
MAC003863,Std,ACORN-A,Affluent
MAC003856,Std,ACORN-A,Affluent
MAC003851,Std,ACORN-A,Affluent
MAC003223,Std,ACORN-A,Affluent
MAC003844,Std,ACORN-A,Affluent
MAC003826,Std,ACORN-A,Affluent
MAC003817,Std,ACORN-A,Affluent
MAC003805,Std,ACORN-A,Affluent
MAC003775,Std,ACORN-A,Affluent
MAC003740,Std,ACORN-A,Affluent
MAC003737,Std,ACORN-A,Affluent
MAC003719,Std,ACORN-A,Affluent
MAC003718,Std,ACORN-A,Affluent
MAC003686,Std,ACORN-A,Affluent
MAC000450,Std,ACORN-A,Affluent
MAC003840,Std,ACORN-A,Affluent
MAC003212,Std,ACORN-A,Affluent
MAC003182,Std,ACORN-A,Affluent
MAC003166,Std,ACORN-A,Affluent
MAC001628,Std,ACORN-A,Affluent
MAC001533,Std,ACORN-A,Affluent
MAC001528,Std,ACORN-A,Affluent
MAC001510,Std,ACORN-A,Affluent
MAC001271,Std,ACORN-A,Affluent
MAC001251,Std,ACORN-A,Affluent
MAC001239,Std,ACORN-A,Affluent
MAC001145,Std,ACORN-A,Affluent
MAC000974,Std,ACORN-A,Affluent
MAC000948,Std,ACORN-A,Affluent
MAC001689,Std,ACORN-A,Affluent
MAC000902,Std,ACORN-A,Affluent
MAC000850,Std,ACORN-A,Affluent
MAC000816,Std,ACORN-A,Affluent
MAC000778,Std,ACORN-A,Affluent
MAC000379,Std,ACORN-A,Affluent
MAC000768,Std,ACORN-A,Affluent
MAC000713,Std,ACORN-A,Affluent
MAC000386,Std,ACORN-A,Affluent
MAC000569,Std,ACORN-A,Affluent
MAC000557,Std,ACORN-A,Affluent
MAC000535,Std,ACORN-A,Affluent
