temp_max,weather_icon,cloud_cover,wind_speed,humidity,weather_date,temp_min,weather_summary
11.96,fog,0.79,3.88,0.95,11/11/2011 0:00,8.85,Foggy until afternoon.
8.59,partly-cloudy-day,0.56,3.94,0.88,12/11/2011 0:00,2.48,Partly cloudy throughout the day.
10.33,partly-cloudy-day,0.85,3.54,0.74,12/27/2011 0:00,8.03,Mostly cloudy throughout the day.
8.07,wind,0.32,3,0.87,12/2/2011 0:00,2.56,Partly cloudy throughout the day and breezy overnight.
8.22,partly-cloudy-night,0.37,4.46,0.8,12/24/2011 0:00,3.17,Mostly cloudy throughout the day.
7.97,wind,0.42,4.71,0.77,12/15/2011 0:00,4.08,Partly cloudy throughout the day and breezy in the morning.
13.19,fog,0.26,2.37,0.92,11/19/2011 0:00,7.48,Foggy starting in the evening.
8.32,fog,0.81,2.36,0.93,11/16/2011 0:00,5.19,Foggy starting in the evening.
9.82,wind,0.38,5.02,0.84,12/12/2011 0:00,3.09,Partly cloudy throughout the day and breezy starting in the evening.
9.71,fog,0.41,1.24,0.96,11/20/2011 0:00,4.76,Foggy in the morning.
11.31,fog,0.83,2.4,0.92,11/8/2011 0:00,9.37,Foggy in the morning.
9.11,partly-cloudy-day,0.36,4.31,0.82,12/4/2011 0:00,4.69,Partly cloudy until evening.
4.68,partly-cloudy-day,0.7,3.71,0.88,12/16/2011 0:00,1.8,Mostly cloudy throughout the day.
15.57,partly-cloudy-day,0.36,2.45,0.84,11/1/2011 0:00,9.68,Partly cloudy until evening.
12.91,partly-cloudy-day,0.81,5.44,0.84,12/26/2011 0:00,9.82,Mostly cloudy throughout the day.
12.58,partly-cloudy-night,0.56,2.34,0.86,11/28/2011 0:00,1.31,Mostly cloudy throughout the day.
7.68,partly-cloudy-day,0.15,5.65,0.71,12/9/2011 0:00,2.03,"Partly cloudy starting in the afternoon, continuing until evening."
6.87,partly-cloudy-day,0.2,5.57,0.77,12/5/2011 0:00,2.81,Partly cloudy until evening.
12.93,partly-cloudy-night,0.41,4.04,0.89,11/24/2011 0:00,8.56,Partly cloudy throughout the day.
14.44,fog,0.52,2.23,0.88,11/17/2011 0:00,8.54,Foggy in the morning.
12.08,wind,0.42,7.44,0.75,12/13/2011 0:00,4.54,Breezy in the morning and partly cloudy throughout the day.
12.14,partly-cloudy-night,0.38,4.31,0.87,12/22/2011 0:00,8.08,Partly cloudy throughout the day.
6.91,partly-cloudy-day,0.34,4.79,0.83,12/6/2011 0:00,2.68,Partly cloudy until evening.
9.02,wind,0.29,7.06,0.68,12/7/2011 0:00,4.91,Partly cloudy throughout the day and breezy until afternoon.
10.69,fog,0.7,2.62,0.95,11/21/2011 0:00,7.1,Foggy starting in the evening.
12.89,wind,0.53,7.01,0.81,12/8/2011 0:00,4.27,Breezy and mostly cloudy throughout the day.
11.85,partly-cloudy-day,0.77,4.77,0.81,11/6/2011 0:00,9.46,Mostly cloudy throughout the day.
13.03,partly-cloudy-day,0.48,5.02,0.79,11/25/2011 0:00,7.46,Partly cloudy throughout the day.
12.15,partly-cloudy-day,0.57,2.57,0.82,12/1/2011 0:00,6.08,Partly cloudy throughout the day.
11.98,partly-cloudy-day,0.88,5.81,0.83,12/25/2011 0:00,8.67,Mostly cloudy throughout the day.
10.27,partly-cloudy-day,0.56,3.71,0.84,12/30/2011 0:00,5.33,Mostly cloudy throughout the day.
15.54,fog,0.5,2.62,0.91,11/4/2011 0:00,11.53,Foggy overnight.
13.71,fog,0.34,2.66,0.92,11/10/2011 0:00,10.26,Foggy in the morning.
15,partly-cloudy-day,0.57,2.74,0.9,11/9/2011 0:00,10.1,Partly cloudy throughout the day.
17.41,partly-cloudy-day,0.52,3.99,0.89,11/3/2011 0:00,12.79,Partly cloudy throughout the day.
12.78,fog,0.82,3.9,0.89,11/7/2011 0:00,10.17,Foggy starting in the evening.
10.36,fog,0.36,2.04,0.93,11/23/2011 0:00,3.81,Foggy in the morning.
14.64,partly-cloudy-day,0.37,3.15,0.87,11/18/2011 0:00,8.64,Partly cloudy until evening.
12.14,partly-cloudy-day,0.67,2.9,0.94,12/21/2011 0:00,5.93,Mostly cloudy throughout the day.
